     Angle,       PSD
33.5354,1076
33.5551,1095
33.5748,1052
33.5945,1120
33.6141,1029
33.6338,1075
33.6535,1119
33.6731,1045
33.6928,1071
33.7125,1096
33.7322,1130
33.7518,1086
33.7715,1075
33.7912,1138
33.8109,1118
33.8305,1133
33.8502,1074
33.8699,1102
33.8896,1077
33.9092,1101
33.9289,1103
33.9486,1091
33.9682,1058
33.9879,1110
34.0076,1105
34.0273,1081
34.0469,1184
34.0666,1091
34.0863,1208
34.106,1149
34.1256,1093
34.1453,1117
34.165,1127
34.1847,1103
34.2043,1090
34.224,1112
34.2437,1144
34.2634,1059
34.283,1064
34.3027,1136
34.3224,1130
34.342,1111
34.3617,1153
34.3814,1090
34.4011,1121
34.4207,1105
34.4404,1112
34.4601,1144
34.4798,1208
34.4994,1175
34.5191,1197
34.5388,1124
34.5585,1104
34.5781,1187
34.5978,1142
34.6175,1126
34.6372,1152
34.6568,1190
34.6765,1218
34.6962,1199
34.7158,1163
34.7355,1178
34.7552,1150
34.7749,1169
34.7945,1199
34.8142,1187
34.8339,1182
34.8536,1225
34.8732,1180
34.8929,1115
34.9126,1214
34.9323,1209
34.9519,1182
34.9716,1151
34.9913,1203
35.0109,1174
35.0306,1199
35.0503,1163
35.07,1228
35.0896,1288
35.1093,1224
35.129,1184
35.1487,1173
35.1683,1159
35.188,1184
35.2077,1258
35.2274,1268
35.247,1260
35.2667,1244
35.2864,1244
35.3061,1271
35.3257,1272
35.3454,1271
35.3651,1262
35.3847,1223
35.4044,1240
35.4241,1230
35.4438,1231
35.4634,1290
35.4831,1292
35.5028,1278
35.5225,1276
35.5421,1346
35.5618,1281
35.5815,1303
35.6012,1330
35.6208,1295
35.6405,1347
35.6602,1316
35.6799,1304
35.6995,1293
35.7192,1299
35.7389,1315
35.7585,1319
35.7782,1379
35.7979,1322
35.8176,1382
35.8372,1368
35.8569,1331
35.8766,1285
35.8963,1353
35.9159,1384
35.9356,1408
35.9553,1382
35.975,1439
35.9946,1406
36.0143,1407
36.034,1477
36.0536,1529
36.0733,1456
36.093,1465
36.1127,1538
36.1323,1437
36.152,1453
36.1717,1483
36.1914,1498
36.211,1509
36.2307,1518
36.2504,1592
36.2701,1622
36.2897,1633
36.3094,1643
36.3291,1645
36.3488,1682
36.3684,1757
36.3881,1742
36.4078,1830
36.4274,1836
36.4471,1851
36.4668,1987
36.4865,2137
36.5061,2252
36.5258,2459
36.5455,2768
36.5652,3056
36.5848,3486
36.6045,4064
36.6242,4658
36.6439,5494
36.6635,6261
36.6832,6807
36.7029,7071
36.7226,7144
36.7422,7189
36.7619,6900
36.7816,6588
36.8012,6079
36.8209,5578
36.8406,4927
36.8603,4418
36.8799,4043
36.8996,3612
36.9193,3286
36.939,3044
36.9586,2700
36.9783,2563
36.998,2468
37.0177,2342
37.0373,2171
37.057,2113
37.0767,2061
37.0963,1900
37.116,1848
37.1357,1788
37.1554,1793
37.175,1772
37.1947,1659
37.2144,1733
37.2341,1608
37.2537,1638
37.2734,1601
37.2931,1618
37.3128,1569
37.3324,1513
37.3521,1563
37.3718,1507
37.3915,1507
37.4111,1440
37.4308,1502
37.4505,1433
37.4701,1384
37.4898,1387
37.5095,1298
37.5292,1393
37.5488,1367
37.5685,1343
37.5882,1337
37.6079,1324
37.6275,1343
37.6472,1381
37.6669,1310
37.6866,1254
37.7062,1217
37.7259,1277
37.7456,1209
37.7653,1286
37.7849,1297
37.8046,1174
37.8243,1193
37.8439,1225
37.8636,1160
37.8833,1221
37.903,1144
37.9226,1159
37.9423,1188
37.962,1148
37.9817,1073
38.0013,1107
38.021,1117
38.0407,1119
38.0604,1119
38.08,1168
38.0997,1149
38.1194,1066
38.139,1100
38.1587,1133
38.1784,1069
38.1981,1067
38.2177,1072
38.2374,983
38.2571,1074
38.2768,1020
38.2964,1032
38.3161,1051
38.3358,999
38.3555,1049
38.3751,1071
38.3948,1031
38.4145,974
38.4342,1051
38.4538,985
38.4735,1027
38.4932,1014
38.5128,989
38.5325,994
38.5522,991
38.5719,977
38.5915,1005
38.6112,1014
38.6309,956
38.6506,923
38.6702,951
38.6899,956
38.7096,932
38.7293,973
38.7489,920
38.7686,918
38.7883,952
38.808,932
38.8276,892
38.8473,911
38.867,901
38.8866,886
38.9063,904
38.926,871
38.9457,947
38.9653,925
38.985,905
39.0047,928
39.0244,904
39.044,912
39.0637,902
39.0834,865
39.1031,931
39.1227,899
39.1424,850
39.1621,882
39.1817,840
39.2014,822
39.2211,820
39.2408,869
39.2604,843
39.2801,842
39.2998,866
39.3195,855
39.3391,837
39.3588,820
39.3785,843
39.3982,755
39.4178,853
39.4375,812
39.4572,778
39.4769,832
39.4965,787
39.5162,780
39.5359,831
39.5555,765
39.5752,792
39.5949,783
39.6146,843
39.6342,770
39.6539,804
39.6736,729
39.6933,766
39.7129,719
39.7326,759
39.7523,796
39.772,815
39.7916,785
39.8113,789
39.831,751
39.8507,806
39.8703,760
39.89,774
39.9097,737
39.9293,742
39.949,749
39.9687,756
39.9884,757
40.008,759
40.0277,689
40.0474,743
40.0671,697
40.0867,739
40.1064,707
40.1261,719
40.1458,713
40.1654,730
40.1851,753
40.2048,757
40.2245,728
40.2441,713
40.2638,691
40.2835,721
40.3031,733
40.3228,684
40.3425,703
40.3622,692
40.3818,698
40.4015,708
40.4212,716
40.4409,716
40.4605,716
40.4802,692
40.4999,675
40.5196,703
40.5392,681
40.5589,676
40.5786,632
40.5982,661
40.6179,699
40.6376,670
40.6573,677
40.6769,718
40.6966,654
40.7163,674
40.736,672
40.7556,654
40.7753,674
40.795,639
40.8147,638
40.8343,718
40.854,677
40.8737,630
40.8934,647
40.913,665
40.9327,679
40.9524,687
40.972,661
40.9917,646
41.0114,633
41.0311,688
41.0507,640
41.0704,650
41.0901,661
41.1098,609
41.1294,628
41.1491,632
41.1688,630
41.1885,635
41.2081,642
41.2278,630
41.2475,637
41.2672,611
41.2868,635
41.3065,665
41.3262,628
41.3458,615
41.3655,600
41.3852,659
41.4049,628
41.4245,664
41.4442,673
41.4639,645
41.4836,608
41.5032,653
41.5229,604
41.5426,616
41.5623,604
41.5819,639
41.6016,595
41.6213,618
41.6409,589
41.6606,585
41.6803,573
41.7,563
41.7196,607
41.7393,598
41.759,579
41.7787,610
41.7983,568
41.818,590
41.8377,595
41.8574,584
41.877,633
41.8967,570
41.9164,632
41.9361,625
41.9557,596
41.9754,591
41.9951,537
42.0147,574
42.0344,574
42.0541,594
42.0738,565
42.0934,633
42.1131,604
42.1328,619
42.1525,614
42.1721,577
42.1918,538
42.2115,587
42.2312,572
42.2508,553
42.2705,603
42.2902,583
42.3099,606
42.3295,564
42.3492,552
42.3689,582
42.3885,598
42.4082,593
42.4279,503
42.4476,535
42.4672,596
42.4869,595
42.5066,585
42.5263,588
42.5459,545
42.5656,563
42.5853,591
42.605,529
42.6246,524
42.6443,557
42.664,541
42.6836,580
42.7033,492
42.723,534
42.7427,546
42.7623,519
42.782,567
42.8017,513
42.8214,536
42.841,542
42.8607,540
42.8804,529
42.9001,560
42.9197,551
42.9394,539
42.9591,542
42.9788,595
42.9984,577
43.0181,546
43.0378,527
43.0574,549
43.0771,531
43.0968,521
43.1165,523
43.1361,562
43.1558,509
43.1755,567
43.1952,574
43.2148,528
43.2345,566
43.2542,525
43.2739,549
43.2935,542
43.3132,500
43.3329,499
43.3526,524
43.3722,533
43.3919,508
43.4116,511
43.4312,540
43.4509,529
43.4706,502
43.4903,540
43.5099,519
43.5296,515
43.5493,525
43.569,543
43.5886,518
43.6083,497
43.628,506
43.6477,553
43.6673,528
43.687,510
43.7067,526
43.7263,552
43.746,486
43.7657,502
43.7854,526
43.805,490
43.8247,555
43.8444,528
43.8641,471
43.8837,477
43.9034,495
43.9231,504
43.9428,496
43.9624,532
43.9821,537
44.0018,502
44.0215,534
44.0411,532
44.0608,548
44.0805,472
44.1001,524
44.1198,486
44.1395,526
44.1592,488
44.1788,506
44.1985,524
44.2182,509
44.2379,520
44.2575,508
44.2772,470
44.2969,508
44.3166,507
44.3362,525
44.3559,542
44.3756,484
44.3953,513
44.4149,487
44.4346,501
44.4543,534
44.4739,522
44.4936,487
44.5133,490
44.533,482
44.5526,512
44.5723,487
44.592,530
44.6117,489
44.6313,522
44.651,485
44.6707,486
44.6904,501
44.71,497
44.7297,499
44.7494,506
44.769,453
44.7887,508
44.8084,564
44.8281,489
44.8477,504
44.8674,530
44.8871,479
44.9068,459
44.9264,459
44.9461,508
44.9658,490
44.9855,453
45.0051,483
45.0248,499
45.0445,464
45.0642,522
45.0838,478
45.1035,479
45.1232,495
45.1428,487
45.1625,429
45.1822,470
45.2019,482
45.2215,453
45.2412,510
45.2609,492
45.2806,496
45.3002,472
45.3199,545
45.3396,499
45.3593,483
45.3789,451
45.3986,506
45.4183,499
45.438,505
45.4576,455
45.4773,455
45.497,476
45.5166,486
45.5363,528
45.556,480
45.5757,493
45.5953,468
45.615,492
45.6347,465
45.6544,442
45.674,497
45.6937,505
45.7134,474
45.7331,501
45.7527,480
45.7724,523
45.7921,480
45.8117,466
45.8314,502
45.8511,481
45.8708,486
45.8904,484
45.9101,441
45.9298,465
45.9495,494
45.9691,495
45.9888,501
46.0085,505
46.0282,467
46.0478,457
46.0675,468
46.0872,457
46.1069,479
46.1265,471
46.1462,496
46.1659,511
46.1855,494
46.2052,451
46.2249,514
46.2446,514
46.2642,417
46.2839,504
46.3036,420
46.3233,511
46.3429,487
46.3626,445
46.3823,490
46.402,475
46.4216,436
46.4413,490
46.461,443
46.4807,473
46.5003,483
46.52,454
46.5397,438
46.5593,465
46.579,450
46.5987,477
46.6184,458
46.638,474
46.6577,479
46.6774,460
46.6971,513
46.7167,471
46.7364,464
46.7561,479
46.7758,475
46.7954,489
46.8151,458
46.8348,497
46.8544,471
46.8741,432
46.8938,448
46.9135,445
46.9331,487
46.9528,466
46.9725,464
46.9922,500
47.0118,495
47.0315,493
47.0512,459
47.0709,500
47.0905,466
47.1102,483
47.1299,464
47.1496,473
47.1692,487
47.1889,439
47.2086,471
47.2282,482
47.2479,432
47.2676,478
47.2873,454
47.3069,459
47.3266,476
47.3463,445
47.366,473
47.3856,458
47.4053,444
47.425,503
47.4447,420
47.4643,463
47.484,447
47.5037,476
47.5234,474
47.543,493
47.5627,487
47.5824,463
47.602,479
47.6217,484
47.6414,474
47.6611,495
47.6807,425
47.7004,439
47.7201,480
47.7398,448
47.7594,467
47.7791,493
47.7988,487
47.8185,506
47.8381,477
47.8578,488
47.8775,487
47.8972,519
47.9168,520
47.9365,475
47.9562,519
47.9758,534
47.9955,527
48.0152,544
48.0349,534
48.0545,560
48.0742,549
48.0939,570
48.1136,600
48.1332,582
48.1529,550
48.1726,532
48.1923,571
48.2119,545
48.2316,501
48.2513,562
48.2709,530
48.2906,526
48.3103,524
48.33,522
48.3496,490
48.3693,527
48.389,510
48.4087,481
48.4283,504
48.448,480
48.4677,467
48.4874,478
48.507,493
48.5267,461
48.5464,465
48.5661,485
48.5857,487
48.6054,496
48.6251,456
48.6447,496
48.6644,473
48.6841,506
48.7038,441
48.7234,496
48.7431,473
48.7628,462
48.7825,462
48.8021,467
48.8218,435
48.8415,499
48.8612,427
48.8808,468
48.9005,479
48.9202,433
48.9399,470
48.9595,427
48.9792,433
48.9989,435
49.0185,457
49.0382,455
49.0579,438
49.0776,437
49.0972,442
49.1169,442
49.1366,438
49.1563,459
49.1759,472
49.1956,444
49.2153,422
49.235,448
49.2546,459
49.2743,477
49.294,461
49.3136,480
49.3333,480
49.353,467
49.3727,404
49.3923,467
49.412,444
49.4317,429
49.4514,464
49.471,448
49.4907,453
49.5104,441
49.5301,494
49.5497,459
49.5694,430
49.5891,434
49.6088,474
49.6284,423
49.6481,465
49.6678,389
49.6874,421
49.7071,464
49.7268,454
49.7465,433
49.7661,448
49.7858,431
49.8055,426
49.8252,469
49.8448,448
49.8645,415
49.8842,427
49.9039,445
49.9235,414
49.9432,457
49.9629,423
49.9826,481
50.0022,470
50.0219,415
50.0416,433
50.0612,461
50.0809,407
50.1006,420
50.1203,460
50.1399,462
50.1596,421
50.1793,444
50.199,436
50.2186,417
50.2383,454
50.258,455
50.2777,426
50.2973,418
50.317,443
50.3367,423
50.3563,467
50.376,413
50.3957,477
50.4154,449
50.435,436
50.4547,461
50.4744,419
50.4941,455
50.5137,446
50.5334,442
50.5531,443
50.5728,405
50.5924,456
50.6121,450
50.6318,460
50.6515,470
50.6711,466
50.6908,448
50.7105,426
50.7301,448
50.7498,470
50.7695,457
50.7892,460
50.8088,440
50.8285,465
50.8482,470
50.8679,439
50.8875,484
50.9072,470
50.9269,429
50.9466,425
50.9662,448
50.9859,454
51.0056,466
51.0253,431
51.0449,470
51.0646,418
51.0843,461
51.1039,463
51.1236,466
51.1433,413
51.163,432
51.1826,474
51.2023,436
51.222,478
51.2417,460
51.2613,453
51.281,449
51.3007,463
51.3204,439
51.34,472
51.3597,425
51.3794,445
51.399,435
51.4187,433
51.4384,462
51.4581,442
51.4777,461
51.4974,432
